Name,Gender,GP,MIN,PTS,DR,OR,REB,AST,STL,BLK,BLKON,FOUL,FOULON,TO,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%
Aaliyah Cordova,Female,16,5.4,0.8,0.2,0.3,0.5,0.1,0.1,0.0,0.1,0.6,0.2,0.4,0.2,1.1,18.2,0.2,1.1,18.2,0.0,0.0,0.0,0.2,0.5,40.0
Aaron Abram,Male,16,24.5,15.9,6.1,2.9,9.0,1.3,0.7,0.5,0.3,3.6,3.5,2.4,6.0,14.1,42.6,4.5,9.6,46.9,1.5,4.5,33.3,2.4,4.0,60.0
Aaron Bartram,Male,21,24.3,4.4,2.4,1.6,4.0,1.4,0.6,0.0,0.5,1.3,0.7,2.2,1.7,7.5,22.7,1.1,4.0,27.5,0.6,3.5,17.1,0.4,1.0,40.0
Aaron Blumberg,Male,63,13.5,4.2,2.1,0.8,2.9,0.6,0.3,0.5,0.2,1.0,0.7,0.8,1.8,4.0,45.0,1.6,3.3,48.5,0.2,0.7,28.6,0.4,0.7,57.1
Aaron Booth,Male,42,14.2,4.0,4.0,1.4,5.4,0.3,0.5,0.5,0.1,2.8,1.4,1.0,1.7,3.6,47.2,1.7,3.6,47.2,0.0,0.0,0.0,0.6,1.1,54.5
Aaron Bosanquet-Fry,Male,21,9.2,1.7,1.0,0.7,1.7,0.5,0.6,0.0,0.1,1.1,0.7,1.2,0.7,3.0,23.3,0.6,2.4,25.0,0.0,0.6,0.0,0.3,0.8,37.5
Aaron Bower,Male,42,21.5,9.2,2.7,1.0,3.8,2.9,1.0,0.0,0.3,1.6,2.8,2.6,3.2,8.7,36.8,2.3,5.8,39.7,1.0,2.9,34.5,1.8,2.9,62.1
Aaron Bruce,Male,11,38.2,29.5,3.8,0.8,4.6,5.6,3.2,0.4,0.0,3.0,0.1,4.7,12.8,29.0,44.1,10.9,21.6,50.5,1.9,7.4,25.7,5.2,6.3,82.5
Aaron Callegari,Male,29,31.5,11.7,2.8,1.7,4.6,3.6,1.3,0.1,0.0,3.1,0.0,4.4,4.2,9.6,43.8,4.0,8.7,46.0,0.2,0.9,22.2,3.1,5.3,58.5
Aaron Carlton,Male,180,17.6,6.2,1.8,0.4,2.2,0.5,0.4,0.1,0.1,0.9,0.5,0.9,2.1,5.9,35.6,0.5,1.2,41.7,1.7,4.7,36.2,0.3,0.5,60.0
Aaron Conlon,Male,2,4.0,1.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.5,1.5,33.3,0.5,0.5,100.0,0.0,1.0,0.0,0.0,0.0,0.0
Aaron Davidson,Male,52,7.4,3.4,0.5,0.7,1.2,0.8,0.3,0.0,0.2,0.7,0.4,0.5,1.3,3.0,43.3,1.1,2.2,50.0,0.3,0.8,37.5,0.4,0.6,66.7
Aaron Dolny,Male,40,14.6,7.8,1.4,0.4,1.8,0.6,0.4,0.1,0.0,1.5,1.7,1.0,2.5,7.3,34.2,0.8,1.8,44.4,1.7,5.5,30.9,1.0,1.6,62.5
Aaron Edwards,Male,1,7.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,66.7,2.0,2.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0
Aaron Evans,Male,75,19.5,6.6,2.4,0.9,3.3,1.1,0.4,0.3,0.2,1.6,0.9,1.5,2.5,7.6,32.9,1.5,3.9,38.5,1.0,3.8,26.3,0.5,0.9,55.6
Aaron Fox,Male,76,14.6,3.4,1.5,0.6,2.1,2.1,0.8,0.1,0.1,1.5,0.4,1.7,1.4,3.9,35.9,1.1,2.8,39.3,0.2,1.1,18.2,0.4,0.9,44.4
Aaron Frost,Male,129,18.6,9.7,4.7,2.1,6.8,0.8,0.3,0.6,0.3,1.5,2.0,1.0,3.7,8.4,44.0,2.9,5.8,50.0,0.8,2.6,30.8,1.3,2.3,56.5
Aaron Gadsden,Male,38,14.8,4.6,2.1,1.9,4.0,0.2,0.3,0.4,0.3,1.9,1.4,0.8,1.9,3.6,52.8,1.9,3.4,55.9,0.0,0.1,0.0,0.7,1.4,50.0
Aaron Gibson,Male,19,7.9,1.6,1.3,0.6,1.9,0.2,0.3,0.2,0.0,1.0,0.0,0.8,0.5,1.1,45.5,0.5,1.1,45.5,0.0,0.1,0.0,0.4,0.8,50.0
Aaron Green,Male,23,9.7,2.8,1.0,0.6,1.5,0.4,0.3,0.1,0.2,0.6,0.7,0.7,1.1,3.6,30.6,1.1,3.1,35.5,0.0,0.4,0.0,0.5,1.0,50.0
Aaron Harrison,Male,19,35.7,25.5,8.8,3.1,11.9,4.2,3.5,0.4,0.4,2.6,5.6,4.6,9.5,18.5,51.4,8.1,14.3,56.6,1.4,4.2,33.3,5.2,6.7,77.6
