Name,Gender,GP,MIN,PTS,DR,OR,REB,AST,STL,BLK,BLKON,FOUL,FOULON,TO,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%
Adam Dixon,Male,21,42.38,26.81,4.71,2.43,7.14,3.52,1.9,1.19,0.0,2.71,0.0,3.19,9.62,18.86,0.51,8.86,16.14,0.549,0.76,2.71,0.28,6.81,8.9,0.765
Amanda Fenwick,Female,19,42.16,10.95,7.47,3.42,10.89,2.32,3.16,1.0,0.0,2.95,0.0,3.16,4.74,12.74,0.372,4.68,12.58,0.372,0.05,0.16,0.312,1.53,4.47,0.342
Bart Strzebonski,Male,1,46.0,16.0,5.0,1.0,6.0,5.0,1.0,0.0,0.0,1.0,5.0,4.0,6.0,19.0,0.316,3.0,10.0,0.3,3.0,9.0,0.333,1.0,5.0,0.2
Bobby Cunningham,Male,45,43.71,20.29,11.31,3.04,14.36,8.82,3.82,0.36,0.0,4.04,0.0,5.67,9.71,25.4,0.382,6.98,16.96,0.412,2.73,8.44,0.323,3.6,4.78,0.753
Brad Salter,Male,20,44.3,16.45,5.75,2.55,8.3,5.3,3.4,0.1,0.0,3.25,0.0,2.9,7.35,16.75,0.439,5.9,12.5,0.472,1.45,4.25,0.341,3.2,4.3,0.744
Brady Walmsey,Male,15,41.73,20.67,2.07,1.33,3.4,3.2,1.27,0.0,0.0,2.0,0.0,3.27,6.47,17.53,0.369,4.13,10.93,0.378,2.33,6.6,0.353,5.4,7.6,0.711
Brett Jarosz,Male,20,45.75,25.25,7.25,3.35,10.6,3.75,2.4,0.7,0.0,3.2,0.0,3.7,9.3,22.65,0.411,8.05,18.55,0.434,1.25,4.1,0.305,7.9,9.55,0.827
Brett Rainbow,Male,32,43.22,21.81,4.41,1.25,5.66,2.41,1.12,0.66,0.0,2.0,0.0,3.34,7.62,17.91,0.425,4.38,8.62,0.508,3.25,9.28,0.35,3.31,4.16,0.796
Bryan Short,Male,29,44.24,21.62,4.79,2.28,7.07,4.9,2.21,0.34,0.0,1.86,0.0,3.31,9.24,24.97,0.37,6.83,18.21,0.375,2.41,6.76,0.357,5.55,7.48,0.742
Caitlin Shaw,Female,24,44.75,16.08,5.21,1.54,6.75,2.71,3.46,0.08,0.0,2.21,0.0,4.0,8.75,28.88,0.303,5.21,17.04,0.306,3.54,11.83,0.299,2.12,2.92,0.726
Cameron Bruce,Male,23,42.39,13.52,3.09,0.78,3.87,5.04,3.0,0.13,0.35,2.52,4.22,3.13,5.0,10.65,0.469,4.09,7.43,0.55,0.91,3.22,0.283,2.61,5.43,0.481
Cameron Norton,Male,16,41.75,8.88,5.75,2.5,8.25,5.19,2.62,0.31,0.0,2.56,0.0,4.0,3.19,7.5,0.425,2.81,5.88,0.478,0.38,1.62,0.235,2.12,4.19,0.506
Craig Jarvis,Male,18,41.89,22.22,5.0,4.22,9.22,3.06,1.11,0.28,0.0,3.39,0.0,3.94,8.94,22.0,0.406,8.39,20.11,0.417,0.56,1.89,0.296,4.89,7.94,0.616
Craig Wattie,Male,21,42.67,26.38,10.43,3.9,14.33,3.05,1.81,0.57,0.0,3.62,0.0,6.67,12.14,28.14,0.431,10.0,22.0,0.455,2.14,6.14,0.349,4.24,6.05,0.701
Curtis Small,Male,49,43.76,30.35,3.37,1.1,4.47,4.08,1.9,0.14,0.0,2.22,0.0,3.78,13.14,28.94,0.454,8.88,18.24,0.487,4.27,10.69,0.399,3.59,4.12,0.871
Damien Smith,Male,25,43.08,23.0,3.08,0.84,3.92,6.04,1.76,0.2,0.0,3.28,0.0,3.96,11.56,26.48,0.437,8.24,17.56,0.469,3.32,8.92,0.372,3.2,4.4,0.727
Daryl Corletto,Male,75,42.92,26.28,5.08,1.39,6.47,5.37,1.65,0.32,0.07,2.16,0.73,2.81,10.69,23.0,0.465,8.2,15.83,0.518,2.49,7.17,0.347,4.93,5.76,0.856
David Barlow,Male,3,44.0,32.0,10.0,3.33,13.33,7.67,0.33,0.67,0.67,2.67,5.67,5.33,10.67,22.33,0.478,8.0,14.33,0.558,2.67,8.0,0.334,8.0,10.0,0.8
Dean Rzechta,Male,20,44.25,32.15,7.8,3.9,11.7,2.3,2.6,0.1,0.0,3.65,0.0,3.9,12.65,31.9,0.397,10.75,25.15,0.427,1.9,6.75,0.281,8.35,10.65,0.784
Dionne Fenton,Female,24,43.12,16.83,8.54,4.92,13.46,1.12,1.71,1.25,0.0,2.54,0.0,4.62,6.67,16.33,0.408,6.67,16.12,0.414,0.0,0.21,0.0,3.5,6.71,0.522
Erdoan Bakal,Male,23,42.91,21.26,3.7,2.57,6.26,4.78,1.22,0.35,0.0,2.04,0.0,4.3,9.52,20.04,0.475,8.48,17.3,0.49,1.04,2.74,0.38,3.26,3.96,0.823
Gili Smolboard,Male,4,43.5,23.75,4.0,0.75,4.75,3.25,3.5,0.0,0.0,4.25,0.0,8.0,6.25,19.25,0.325,2.5,8.75,0.286,3.75,10.5,0.357,7.5,9.75,0.769
Glen Barlow,Male,45,43.38,20.18,11.56,4.64,16.2,3.67,1.44,0.78,0.44,3.71,1.42,3.62,7.67,15.91,0.482,7.64,15.67,0.488,0.02,0.24,0.083,4.82,7.56,0.638
Greg Smith,Male,40,43.15,17.08,5.82,1.38,7.2,6.7,1.72,0.45,0.0,3.2,0.0,3.45,6.12,15.32,0.399,4.18,8.18,0.511,1.95,7.15,0.273,2.88,4.55,0.633
Harry White,Male,1,42.0,3.0,2.0,3.0,5.0,1.0,2.0,0.0,0.0,5.0,4.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,3.0,4.0,0.75
Ivan Platenik,Male,18,42.44,28.33,8.83,5.39,14.22,2.39,1.11,1.17,1.33,3.0,7.11,3.22,10.72,21.67,0.495,10.67,21.28,0.501,0.06,0.39,0.154,6.83,10.5,0.65
James Denton (Sk),Male,24,44.08,15.08,3.88,1.42,5.29,3.29,1.75,0.21,0.75,2.83,3.83,2.58,5.38,13.12,0.41,5.0,11.46,0.436,0.38,1.67,0.228,3.96,5.29,0.749
James Tsun,Male,19,42.32,17.11,3.47,0.84,4.32,4.68,2.0,0.16,0.0,2.37,0.0,5.16,6.21,18.68,0.332,3.74,8.89,0.421,2.47,9.79,0.252,2.21,3.74,0.591
Jane Chalmers,Female,10,43.1,18.0,5.6,1.9,7.5,7.0,3.9,0.2,0.0,4.1,0.0,6.4,6.8,21.1,0.322,6.6,18.8,0.351,0.2,2.3,0.087,4.6,6.5,0.708
Jared Swanson,Male,49,44.69,32.35,9.86,4.22,14.08,3.08,2.08,0.37,0.31,3.53,2.71,4.24,12.92,30.06,0.43,12.67,28.76,0.441,0.24,1.31,0.183,6.27,9.49,0.661
Jason Pepper,Male,28,43.25,25.89,7.61,3.29,10.89,3.21,3.71,0.57,0.0,3.82,0.0,5.11,11.36,22.5,0.505,10.46,19.61,0.533,0.89,2.89,0.308,4.07,6.43,0.633
Jay Allen,Male,17,41.76,20.18,2.71,1.12,3.82,4.06,2.18,0.35,0.0,2.12,0.0,3.76,10.0,28.24,0.354,7.06,19.47,0.363,2.94,8.76,0.336,3.12,4.47,0.698
Jeff Reid,Male,20,43.85,24.1,4.95,1.95,6.9,4.75,2.65,0.05,0.0,3.45,0.0,3.5,8.2,21.05,0.39,3.95,8.75,0.451,4.25,12.3,0.346,3.45,4.9,0.704
