Name,Gender,GP,MIN,PTS,DR,OR,REB,AST,STL,BLK,BLKON,FOUL,FOULON,TO,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%
Adam Dixon,Male,21,35.32,22.34,3.93,2.02,5.95,2.94,1.59,0.99,0.0,2.26,0.0,2.66,8.02,15.71,0.511,7.38,13.45,0.549,0.63,2.26,0.279,5.67,7.42,0.764
Amanda Fenwick,Female,19,35.13,9.12,6.23,2.85,9.08,1.93,2.63,0.83,0.0,2.46,0.0,2.63,3.95,10.61,0.372,3.9,10.48,0.372,0.04,0.13,0.308,1.27,3.73,0.34
Bart Strzebonski,Male,1,38.33,13.33,4.17,0.83,5.0,4.17,0.83,0.0,0.0,0.83,4.17,3.33,5.0,15.83,0.316,2.5,8.33,0.3,2.5,7.5,0.333,0.83,4.17,0.199
Bobby Cunningham,Male,45,36.43,16.91,9.43,2.54,11.96,7.35,3.19,0.3,0.0,3.37,0.0,4.72,8.09,21.17,0.382,5.81,14.13,0.411,2.28,7.04,0.324,3.0,3.98,0.754
Brad Salter,Male,20,36.92,13.71,4.79,2.12,6.92,4.42,2.83,0.08,0.0,2.71,0.0,2.42,6.12,13.96,0.438,4.92,10.42,0.472,1.21,3.54,0.342,2.67,3.58,0.746
Brady Walmsey,Male,15,34.78,17.22,1.72,1.11,2.83,2.67,1.06,0.0,0.0,1.67,0.0,2.72,5.39,14.61,0.369,3.44,9.11,0.378,1.94,5.5,0.353,4.5,6.33,0.711
Brett Jarosz,Male,20,38.12,21.04,6.04,2.79,8.83,3.12,2.0,0.58,0.0,2.67,0.0,3.08,7.75,18.87,0.411,6.71,15.46,0.434,1.04,3.42,0.304,6.58,7.96,0.827
Brett Rainbow,Male,32,36.02,18.18,3.67,1.04,4.71,2.01,0.94,0.55,0.0,1.67,0.0,2.79,6.35,14.92,0.426,3.65,7.19,0.508,2.71,7.73,0.351,2.76,3.46,0.798
Bryan Short,Male,29,36.87,18.02,3.99,1.9,5.89,4.08,1.84,0.29,0.0,1.55,0.0,2.76,7.7,20.8,0.37,5.69,15.17,0.375,2.01,5.63,0.357,4.63,6.24,0.742
Caitlin Shaw,Female,24,37.29,13.4,4.34,1.28,5.62,2.26,2.88,0.07,0.0,1.84,0.0,3.33,7.29,24.06,0.303,4.34,14.2,0.306,2.95,9.86,0.299,1.77,2.43,0.728
Cameron Bruce,Male,23,35.33,11.27,2.57,0.65,3.22,4.2,2.5,0.11,0.29,2.1,3.51,2.61,4.17,8.88,0.47,3.41,6.2,0.55,0.76,2.68,0.284,2.17,4.53,0.479
Cameron Norton,Male,16,34.79,7.4,4.79,2.08,6.87,4.32,2.19,0.26,0.0,2.14,0.0,3.33,2.66,6.25,0.426,2.34,4.9,0.478,0.31,1.35,0.23,1.77,3.49,0.507
Craig Jarvis,Male,18,34.91,18.52,4.17,3.52,7.69,2.55,0.93,0.23,0.0,2.82,0.0,3.29,7.45,18.33,0.406,6.99,16.76,0.417,0.46,1.57,0.293,4.07,6.62,0.615
Craig Wattie,Male,21,35.56,21.98,8.69,3.25,11.94,2.54,1.51,0.48,0.0,3.02,0.0,5.56,10.12,23.45,0.432,8.33,18.33,0.454,1.79,5.12,0.35,3.53,5.04,0.7
Curtis Small,Male,49,36.46,25.29,2.81,0.92,3.72,3.4,1.58,0.12,0.0,1.85,0.0,3.15,10.95,24.12,0.454,7.4,15.2,0.487,3.55,8.91,0.398,2.99,3.44,0.869
Damien Smith,Male,25,35.9,19.17,2.57,0.7,3.27,5.03,1.47,0.17,0.0,2.73,0.0,3.3,9.63,22.07,0.436,6.87,14.63,0.47,2.77,7.43,0.373,2.67,3.67,0.728
Daryl Corletto,Male,75,35.77,21.9,4.23,1.16,5.39,4.48,1.38,0.27,0.06,1.8,0.61,2.34,8.91,19.17,0.465,6.83,13.19,0.518,2.08,5.98,0.348,4.11,4.8,0.856
David Barlow,Male,3,36.67,26.67,8.33,2.78,11.11,6.39,0.28,0.56,0.56,2.22,4.72,4.44,8.89,18.61,0.478,6.67,11.94,0.559,2.22,6.67,0.333,6.67,8.33,0.801
Dean Rzechta,Male,20,36.87,26.79,6.5,3.25,9.75,1.92,2.17,0.08,0.0,3.04,0.0,3.25,10.54,26.58,0.397,8.96,20.96,0.427,1.58,5.62,0.281,6.96,8.87,0.785
Dionne Fenton,Female,24,35.94,14.03,7.12,4.1,11.22,0.94,1.42,1.04,0.0,2.12,0.0,3.85,5.56,13.61,0.409,5.56,13.44,0.414,0.0,0.17,0.0,2.92,5.59,0.522
Erdoan Bakal,Male,23,35.76,17.72,3.08,2.14,5.22,3.99,1.01,0.29,0.0,1.7,0.0,3.59,7.93,16.7,0.475,7.07,14.42,0.49,0.87,2.28,0.382,2.72,3.3,0.824
Gili Smolboard,Male,4,36.25,19.79,3.33,0.62,3.96,2.71,2.92,0.0,0.0,3.54,0.0,6.67,5.21,16.04,0.325,2.08,7.29,0.285,3.12,8.75,0.357,6.25,8.12,0.77
Glen Barlow,Male,45,36.15,16.81,9.63,3.87,13.5,3.06,1.2,0.65,0.37,3.09,1.19,3.02,6.39,13.26,0.482,6.37,13.06,0.488,0.02,0.2,0.1,4.02,6.3,0.638
Greg Smith,Male,40,35.96,14.23,4.85,1.15,6.0,5.58,1.44,0.37,0.0,2.67,0.0,2.87,5.1,12.77,0.399,3.48,6.81,0.511,1.62,5.96,0.272,2.4,3.79,0.633
Harry White,Male,1,42.0,3.0,2.0,3.0,5.0,1.0,2.0,0.0,0.0,5.0,4.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,3.0,4.0,0.75
Ivan Platenik,Male,18,35.37,23.61,7.36,4.49,11.85,1.99,0.93,0.97,1.11,2.5,5.93,2.69,8.94,18.06,0.495,8.89,17.73,0.501,0.05,0.32,0.156,5.69,8.75,0.65
James Denton (Sk),Male,24,36.74,12.57,3.23,1.18,4.41,2.74,1.46,0.17,0.62,2.36,3.19,2.15,4.48,10.94,0.41,4.17,9.55,0.437,0.31,1.39,0.223,3.3,4.41,0.748
James Tsun,Male,19,35.26,14.25,2.89,0.7,3.6,3.9,1.67,0.13,0.0,1.97,0.0,4.3,5.18,15.57,0.333,3.11,7.41,0.42,2.06,8.16,0.252,1.84,3.11,0.592
Jane Chalmers,Female,10,35.92,15.0,4.67,1.58,6.25,5.83,3.25,0.17,0.0,3.42,0.0,5.33,5.67,17.58,0.323,5.5,15.67,0.351,0.17,1.92,0.089,3.83,5.42,0.707
Jared Swanson,Male,49,37.24,26.96,8.21,3.52,11.73,2.57,1.73,0.31,0.26,2.94,2.26,3.54,10.77,25.05,0.43,10.56,23.96,0.441,0.2,1.09,0.183,5.22,7.91,0.66
Jason Pepper,Male,28,36.04,21.58,6.34,2.74,9.08,2.68,3.1,0.48,0.0,3.18,0.0,4.26,9.46,18.75,0.505,8.72,16.34,0.534,0.74,2.41,0.307,3.39,5.36,0.632
Jay Allen,Male,17,34.8,16.81,2.25,0.93,3.19,3.38,1.81,0.29,0.0,1.76,0.0,3.14,8.33,23.53,0.354,5.88,16.23,0.362,2.45,7.3,0.336,2.6,3.73,0.697
Jeff Reid,Male,20,36.54,20.08,4.12,1.62,5.75,3.96,2.21,0.04,0.0,2.87,0.0,2.92,6.83,17.54,0.389,3.29,7.29,0.451,3.54,10.25,0.345,2.87,4.08,0.703
Jeremy Marsh,Male,16,35.73,15.94,5.73,2.45,8.18,2.45,1.87,1.15,0.0,2.66,0.0,3.91,5.89,13.39,0.44,5.16,11.41,0.452,0.73,1.98,0.369,3.44,4.74,0.726
John Constance,Male,22,37.8,14.73,3.14,1.25,4.39,4.24,2.08,0.15,0.0,2.2,0.0,2.42,7.73,21.55,0.359,5.8,14.85,0.391,1.93,6.7,0.288,1.21,1.7,0.712
John Morris,Male,16,35.21,18.18,6.15,1.15,7.29,1.67,0.68,0.31,0.62,2.76,3.12,3.91,6.72,17.55,0.383,4.22,9.43,0.448,2.5,8.12,0.308,2.24,3.8,0.589
Jonathon Lee,Male,46,35.89,14.37,2.99,0.94,3.93,4.02,2.05,0.11,0.0,2.37,0.0,3.62,5.78,15.85,0.365,5.09,12.93,0.394,0.69,2.92,0.236,2.81,4.44,0.633
Jordan Hill,Male,8,36.04,20.73,5.94,0.62,6.56,3.44,1.25,0.31,0.0,3.33,0.0,2.71,7.5,17.08,0.439,3.75,7.29,0.514,3.75,9.79,0.383,1.98,2.92,0.678
Josh Smith,Male,22,35.0,21.55,4.36,1.4,5.76,3.07,1.33,0.08,0.0,2.05,0.0,3.64,7.05,19.43,0.363,4.7,10.91,0.431,2.35,8.52,0.276,5.11,7.27,0.703
Kevin Benn,Male,23,35.65,17.5,9.02,5.54,14.57,1.49,0.58,0.69,0.76,3.37,5.04,4.17,7.36,12.07,0.61,7.36,12.03,0.612,0.0,0.04,0.0,2.79,5.94,0.47
Kevin Probert,Male,2,37.92,18.75,3.33,0.83,4.17,4.58,3.75,0.42,0.0,2.5,0.0,3.75,5.0,13.33,0.375,3.33,7.08,0.47,1.67,6.25,0.267,7.08,10.0,0.708
Lee Jeka,Male,22,37.61,25.72,4.09,1.67,5.76,4.13,1.55,0.08,0.0,1.29,0.0,3.94,11.33,26.33,0.43,8.86,19.2,0.461,2.46,7.12,0.346,4.02,5.49,0.732
Luke Cooper,Male,10,35.33,12.75,3.17,1.33,4.5,7.33,2.08,0.08,0.0,1.58,0.0,4.42,4.25,9.5,0.447,3.5,6.33,0.553,0.75,3.17,0.237,3.5,5.58,0.627
Luke Goldstein,Male,1,35.0,21.67,11.67,2.5,14.17,1.67,0.0,0.0,0.0,5.0,0.0,3.33,8.33,15.83,0.526,8.33,15.83,0.526,0.0,0.0,,5.0,10.0,0.5
Luke Mcmillan,Male,44,35.61,24.26,6.19,2.22,8.41,1.67,0.34,1.25,0.38,2.22,2.65,2.29,8.92,17.31,0.515,7.73,14.05,0.55,1.19,3.26,0.365,5.23,6.93,0.755
Marcus Johnson,Male,24,35.73,20.31,3.37,0.87,4.24,2.12,1.28,0.35,0.0,2.33,0.0,3.78,7.64,15.62,0.489,6.42,11.81,0.544,1.22,3.82,0.319,3.82,5.21,0.733
