Name,Club Name,Competition Name,Equivalent Competition,Level,Gender,Season,Factor,GP,MIN,PTS,DR,OR,REB,AST,STL,BLK,BLKON,FOUL,FOULON,TO,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%
Jared Swanson,Shepparton,Division One Men,Division 1 Men,Senior,Male,2006,0.833333333,20,39.29,31.75,9.75,4.5,14.25,3.17,2.46,0.29,0.0,2.79,0.0,4.54,12.58,29.37,0.428,12.58,28.75,0.438,0.0,0.62,0.0,6.58,9.75,0.675
Timothy Gainey,Warrnambool,SCM 2008,Championship Men,Senior,Male,2008,0.833333333,20,38.71,17.96,6.21,2.62,8.83,1.92,0.62,1.37,0.79,3.0,3.67,3.62,6.37,16.71,0.381,4.37,10.12,0.432,2.0,6.58,0.304,3.21,4.08,0.787
Dean Rzechta,Maccabi,D2M 2007,Division 2 Men,Senior,Male,2007,0.833333333,1,38.33,31.67,3.33,3.33,6.67,3.33,0.83,0.0,0.0,1.67,0.0,2.5,9.17,20.83,0.44,5.83,12.5,0.466,3.33,8.33,0.4,10.0,13.33,0.75
Bart Strzebonski,La Trobe University,Division One Men,Division 1 Men,Senior,Male,2009,0.833333333,1,38.33,13.33,4.17,0.83,5.0,4.17,0.83,0.0,0.0,0.83,4.17,3.33,5.0,15.83,0.316,2.5,8.33,0.3,2.5,7.5,0.333,0.83,4.17,0.199
Brett Jarosz,Wyndham,VBL Premier Men,Division 1 Men,Senior,Male,2003,0.833333333,20,38.12,21.04,6.04,2.79,8.83,3.12,2.0,0.58,0.0,2.67,0.0,3.08,7.75,18.87,0.411,6.71,15.46,0.434,1.04,3.42,0.304,6.58,7.96,0.827
Paul Fridman,Maccabi,VBL Premier Men,Division 1 Men,Senior,Male,2003,0.833333333,21,37.98,12.34,3.61,0.95,4.56,7.82,3.61,0.24,0.0,2.78,0.0,5.67,6.19,20.44,0.303,4.05,12.5,0.324,2.14,7.94,0.27,2.1,2.94,0.714
Kevin Probert,Bendigo,YL1M 2007,Victorian Youth Championship Men,Youth,Male,2007,0.833333333,2,37.92,18.75,3.33,0.83,4.17,4.58,3.75,0.42,0.0,2.5,0.0,3.75,5.0,13.33,0.375,3.33,7.08,0.47,1.67,6.25,0.267,7.08,10.0,0.708
Thomas Burns,McKinnon,Division Two Men,Division 2 Men,Senior,Male,2006,0.833333333,20,37.92,17.17,5.17,1.33,6.5,6.0,2.21,0.25,0.0,2.33,0.0,4.67,6.08,16.21,0.375,4.58,10.71,0.428,1.5,5.5,0.273,3.5,6.04,0.579
Lee Jeka,Wyndham,SCM 2004,Championship Men,Senior,Male,2004,0.833333333,13,37.82,27.95,3.27,1.73,5.0,3.53,1.67,0.0,0.0,1.6,0.0,4.1,13.33,30.38,0.439,10.45,22.5,0.464,2.88,7.88,0.365,4.17,5.58,0.747
John Constance,Chelsea,VBL Division 1 Men,Division 2 Men,Senior,Male,2003,0.833333333,22,37.8,14.73,3.14,1.25,4.39,4.24,2.08,0.15,0.0,2.2,0.0,2.42,7.73,21.55,0.359,5.8,14.85,0.391,1.93,6.7,0.288,1.21,1.7,0.712
Sean Mccall,Coburg,Division One Men,Division 1 Men,Senior,Male,2005,0.833333333,2,37.5,25.42,7.5,3.75,11.25,1.67,2.92,1.25,0.0,2.92,0.0,5.0,9.17,20.83,0.44,7.92,15.0,0.528,1.25,5.83,0.214,5.83,9.58,0.609
Warren Estcourt,Bulleen,VBL Division 1 - Men,Division 2 Men,Senior,Male,2002,0.833333333,1,37.5,2.5,6.67,0.0,6.67,5.83,0.0,0.0,0.0,2.5,0.0,1.67,10.0,26.67,0.375,1.67,7.5,0.223,8.33,19.17,0.435,4.17,5.0,0.834
Vashon Weaver,Latrobe City,SCM 2007,Championship Men,Senior,Male,2007,0.833333333,19,37.37,18.33,5.22,2.24,7.46,4.82,1.05,0.44,0.0,2.81,0.0,5.0,6.93,15.88,0.436,6.27,12.68,0.494,0.66,3.2,0.206,3.82,6.05,0.631
Lee Jeka,Wyndham,SCM 2005,Championship Men,Senior,Male,2005,0.833333333,9,37.31,22.5,5.28,1.57,6.85,5.0,1.39,0.19,0.0,0.83,0.0,3.7,8.43,20.46,0.412,6.57,14.44,0.455,1.85,6.02,0.307,3.8,5.37,0.708
Caitlin Shaw,Diamond Valley,VBL Division 1 - Women,Division 2 Women,Senior,Female,2002,0.833333333,24,37.29,13.4,4.34,1.28,5.62,2.26,2.88,0.07,0.0,1.84,0.0,3.33,7.29,24.06,0.303,4.34,14.2,0.306,2.95,9.86,0.299,1.77,2.43,0.728
Travis Banko,Echuca,VBL Division 1 - Men,Division 2 Men,Senior,Male,2002,0.833333333,20,37.25,21.0,3.25,1.42,4.67,3.83,1.96,0.08,0.0,2.33,0.0,6.08,8.67,20.92,0.414,7.58,17.08,0.444,1.08,3.83,0.282,4.75,6.42,0.74
Curtis Small,Warrnambool,SCM 2004,Championship Men,Senior,Male,2004,0.833333333,23,37.14,26.2,2.43,1.01,3.44,2.97,1.92,0.11,0.0,2.14,0.0,3.12,13.33,29.71,0.449,9.96,20.62,0.483,3.37,9.09,0.371,2.9,3.26,0.89
Nathan Sellwood,Sunbury,VBL Premier - Men,Division 1 Men,Senior,Male,2002,0.833333333,27,37.13,23.09,3.73,1.64,5.37,4.1,1.73,0.03,0.0,1.3,0.0,2.84,10.03,24.23,0.414,8.09,19.01,0.426,1.94,5.22,0.372,4.97,6.57,0.756
Nathan Crosswell,Sandringham,SCM 2004,Championship Men,Senior,Male,2004,0.833333333,21,36.98,21.27,3.41,0.87,4.29,6.23,1.75,0.04,0.0,1.98,0.0,3.65,8.29,17.58,0.472,7.5,15.08,0.497,0.79,2.5,0.316,5.48,6.71,0.817
Sam Belt,Ringwood,SCM 2009,Championship Men,Senior,Male,2009,0.833333333,22,36.93,22.65,7.39,2.5,9.89,2.77,0.91,0.64,0.8,1.89,3.45,2.35,7.27,18.03,0.403,3.22,6.97,0.462,4.05,11.06,0.366,4.05,5.68,0.713
Brad Salter,Wyndham,SCM 2004,Championship Men,Senior,Male,2004,0.833333333,20,36.92,13.71,4.79,2.12,6.92,4.42,2.83,0.08,0.0,2.71,0.0,2.42,6.12,13.96,0.438,4.92,10.42,0.472,1.21,3.54,0.342,2.67,3.58,0.746
Bryan Short,Hume City,VBL Division 1 - Men,Division 2 Men,Senior,Male,2002,0.833333333,29,36.87,18.02,3.99,1.9,5.89,4.08,1.84,0.29,0.0,1.55,0.0,2.76,7.7,20.8,0.37,5.69,15.17,0.375,2.01,5.63,0.357,4.63,6.24,0.742
Bobby Cunningham,Warrnambool,SCM 2003,Championship Men,Senior,Male,2003,0.833333333,22,36.86,18.94,10.34,2.84,13.18,6.86,3.45,0.42,0.0,3.33,0.0,4.32,9.17,22.92,0.4,6.59,15.42,0.427,2.58,7.5,0.344,3.18,4.2,0.757
Daryl Corletto,Ringwood,SCM 2003,Championship Men,Senior,Male,2003,0.833333333,23,36.85,27.9,3.59,2.14,5.72,2.54,1.96,0.4,0.0,2.17,0.0,2.07,11.88,23.48,0.506,10.04,18.15,0.553,1.85,5.33,0.347,5.98,6.78,0.882
Jonathon Lee,Bulleen,SCM 2004,Championship Men,Senior,Male,2004,0.833333333,22,36.82,15.68,3.07,1.06,4.13,3.79,1.82,0.11,0.0,2.5,0.0,3.41,6.59,18.37,0.359,5.87,15.15,0.387,0.72,3.22,0.224,3.22,4.92,0.654
Mick Hill,Sherbrooke,SCM 2005,Championship Men,Senior,Male,2005,0.833333333,23,36.81,28.91,6.09,1.74,7.83,5.58,1.85,0.25,0.0,2.86,0.0,4.35,10.83,21.74,0.498,8.7,15.8,0.551,2.14,5.94,0.36,5.11,6.52,0.784
Dean Rzechta,Maccabi,VBL Premier Men,Division 1 Men,Senior,Male,2003,0.833333333,19,36.8,26.54,6.67,3.25,9.91,1.84,2.24,0.09,0.0,3.11,0.0,3.29,10.61,26.89,0.395,9.12,21.4,0.426,1.49,5.48,0.272,6.8,8.64,0.787
Glen Barlow,Latrobe City,SCM 2009,Championship Men,Senior,Male,2009,0.833333333,20,36.75,13.54,8.37,4.54,12.92,3.12,0.96,0.62,0.83,3.33,2.67,2.08,5.42,10.87,0.499,5.37,10.79,0.498,0.04,0.08,0.5,2.67,4.21,0.634
