Name,Gender,GP,MIN,PTS,DR,OR,REB,AST,STL,BLK,BLKON,FOUL,FOULON,TO,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%
Aaliyah Cordova,Female,16,5.38,4.18,1.06,1.73,2.79,0.33,0.33,0.0,0.33,3.46,1.39,2.12,1.39,5.91,23.5,1.39,5.91,23.5,0.0,0.0,0.0,1.39,2.79,49.8
Aaron Abram,Male,16,24.5,19.44,7.49,3.53,11.02,1.6,0.84,0.61,0.38,4.36,4.29,2.91,7.35,17.29,42.5,5.51,11.78,46.8,1.84,5.51,33.4,2.91,4.9,59.4
Aaron Bartram,Male,21,24.29,5.47,3.0,1.94,4.94,1.77,0.77,0.06,0.59,1.64,0.88,2.77,2.11,9.24,22.8,1.41,4.94,28.5,0.7,4.3,16.3,0.53,1.17,45.3
Aaron Blumberg,Male,63,13.46,9.41,4.7,1.76,6.46,1.27,0.56,1.09,0.47,2.34,1.63,1.85,4.03,8.8,45.8,3.57,7.29,49.0,0.47,1.52,30.9,0.89,1.56,57.1
Aaron Booth,Male,42,14.19,8.46,8.35,3.02,11.37,0.7,1.01,1.01,0.3,5.84,2.92,2.01,3.62,7.65,47.3,3.62,7.65,47.3,0.0,0.0,0.0,1.21,2.41,50.2
Aaron Bosanquet-Fry,Male,21,9.24,5.42,3.25,2.18,5.42,1.69,2.01,0.16,0.32,3.7,2.31,4.03,2.18,9.74,22.4,2.01,7.73,26.0,0.16,2.01,8.0,0.94,2.47,38.1
Aaron Bower,Male,42,21.55,12.77,3.81,1.42,5.23,4.04,1.36,0.03,0.4,2.26,3.94,3.65,4.47,12.13,36.9,3.15,8.09,38.9,1.32,4.04,32.7,2.49,4.01,62.1
Aaron Bruce,Male,11,38.18,23.14,3.0,0.64,3.65,4.43,2.5,0.28,0.0,2.36,0.07,3.72,10.07,22.79,44.2,8.57,17.0,50.4,1.5,5.78,26.0,4.07,4.93,82.6
Aaron Callegari,Male,29,31.52,11.15,2.69,1.64,4.33,3.45,1.28,0.13,0.0,2.95,0.0,4.24,4.01,9.16,43.8,3.78,8.3,45.5,0.23,0.86,26.7,2.92,5.05,57.8
Aaron Carlton,Male,180,17.59,10.66,3.02,0.7,3.72,0.87,0.72,0.12,0.14,1.53,0.8,1.48,3.63,10.03,36.2,0.78,1.96,39.8,2.85,8.07,35.3,0.55,0.8,68.8
Aaron Conlon,Male,2,4.0,7.5,7.5,0.0,7.5,3.75,0.0,0.0,0.0,3.75,0.0,0.0,3.75,11.25,33.3,3.75,3.75,100.0,0.0,7.5,0.0,0.0,0.0,0.0
Aaron Davidson,Male,52,7.42,13.67,2.18,2.79,4.97,3.27,1.09,0.0,0.93,2.79,1.7,2.02,5.46,12.29,44.4,4.37,9.02,48.4,1.09,3.27,33.3,1.7,2.51,67.7
Aaron Dolny,Male,40,14.62,16.01,2.91,0.78,3.69,1.17,0.86,0.16,0.04,3.12,3.53,2.01,5.17,15.02,34.4,1.64,3.8,43.2,3.53,11.24,31.4,2.09,3.28,63.7
Aaron Edwards,Male,1,7.0,17.14,4.29,0.0,4.29,0.0,0.0,0.0,0.0,4.29,0.0,0.0,8.57,12.86,66.6,8.57,8.57,100.0,0.0,4.29,0.0,0.0,0.0,0.0
Aaron Evans,Male,75,19.51,10.1,3.74,1.35,5.09,1.68,0.66,0.45,0.31,2.52,1.31,2.28,3.81,11.75,32.4,2.26,5.97,37.9,1.55,5.78,26.8,0.85,1.35,63.0
Aaron Fox,Male,76,14.55,7.03,3.11,1.22,4.35,4.41,1.61,0.27,0.23,3.11,0.85,3.51,2.82,8.06,35.0,2.31,5.84,39.6,0.52,2.23,23.3,0.87,1.84,47.3
Aaron Frost,Male,129,18.6,15.71,7.65,3.37,11.03,1.31,0.55,0.89,0.52,2.48,3.15,1.66,5.9,13.56,43.5,4.6,9.32,49.4,1.31,4.26,30.8,2.1,3.68,57.1
Aaron Gadsden,Male,38,14.84,9.2,4.14,3.94,8.09,0.49,0.65,0.85,0.53,3.78,2.87,1.6,3.88,7.24,53.6,3.88,6.97,55.7,0.0,0.26,0.0,1.44,2.77,52.0
Aaron Gibson,Male,19,7.89,6.01,5.02,2.4,7.41,0.8,1.22,0.61,0.0,3.8,0.0,3.19,2.02,4.22,47.9,2.02,3.99,50.6,0.0,0.19,0.0,1.6,3.19,50.2
Aaron Green,Male,23,9.65,8.64,2.98,1.77,4.73,1.34,1.09,0.28,0.53,1.9,2.3,2.02,3.51,11.1,31.6,3.39,9.73,34.8,0.12,1.34,9.0,1.49,3.23,46.1
Aaron Harrison,Male,19,35.68,21.47,7.43,2.56,10.0,3.5,2.97,0.31,0.31,2.17,4.73,3.89,7.96,15.53,51.3,6.82,12.04,56.6,1.15,3.5,32.9,4.38,5.62,77.9
Aaron Hill,Male,14,36.93,18.04,2.44,0.64,3.08,1.62,1.51,0.24,0.58,2.2,3.25,1.97,5.45,13.4,40.7,2.27,5.92,38.3,3.19,7.48,42.6,3.95,4.7,84.0
Aaron Holmes,Male,71,12.01,8.72,4.2,2.35,6.54,1.1,0.62,0.7,0.15,4.72,0.35,1.92,3.52,12.46,28.3,2.77,9.12,30.4,0.75,3.35,22.4,1.65,2.7,61.1
Aaron Kearing,Male,31,13.0,11.24,4.75,5.52,10.27,1.27,0.53,1.34,0.14,5.15,2.75,2.98,4.85,9.46,51.3,4.85,9.37,51.8,0.0,0.07,0.0,1.57,2.91,54.0
Aaron Klos,Male,81,12.32,11.01,4.07,1.27,5.33,2.73,2.56,0.24,0.66,3.41,5.36,2.26,3.36,10.13,33.2,2.46,6.94,35.4,0.9,3.19,28.2,3.36,5.5,61.1
Aaron Krug,Male,26,10.31,6.72,1.69,0.9,2.56,0.67,0.55,0.0,0.44,4.25,1.89,2.91,2.56,7.83,32.7,2.01,5.15,39.0,0.55,2.68,20.5,1.02,1.45,70.3
