Name,Gender,GP,MIN,PTS,DR,OR,REB,AST,STL,BLK,BLKON,FOUL,FOULON,TO,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%
Adam Dixon,Male,21,42.38,18.98,3.33,1.72,5.05,2.49,1.34,0.84,0.0,1.92,0.0,2.26,6.81,13.35,0.51,6.27,11.43,0.549,0.54,1.92,0.281,4.82,6.3,0.765
Amanda Fenwick,Female,19,42.16,7.79,5.32,2.43,7.75,1.65,2.25,0.71,0.0,2.1,0.0,2.25,3.37,9.07,0.372,3.33,8.95,0.372,0.04,0.11,0.364,1.09,3.18,0.343
Bart Strzebonski,Male,1,46.0,10.43,3.26,0.65,3.91,3.26,0.65,0.0,0.0,0.65,3.26,2.61,3.91,12.39,0.316,1.96,6.52,0.301,1.96,5.87,0.334,0.65,3.26,0.199
Bobby Cunningham,Male,45,43.71,13.93,7.76,2.09,9.86,6.05,2.62,0.25,0.0,2.77,0.0,3.89,6.66,17.43,0.382,4.79,11.64,0.412,1.87,5.79,0.323,2.47,3.28,0.753
Brad Salter,Male,20,44.3,11.14,3.89,1.73,5.62,3.59,2.3,0.07,0.0,2.2,0.0,1.96,4.98,11.34,0.439,4.0,8.47,0.472,0.98,2.88,0.34,2.17,2.91,0.746
Brady Walmsey,Male,15,41.73,14.86,1.49,0.96,2.44,2.3,0.91,0.0,0.0,1.44,0.0,2.35,4.65,12.6,0.369,2.97,7.86,0.378,1.68,4.74,0.354,3.88,5.46,0.711
Brett Jarosz,Male,20,45.75,16.56,4.75,2.2,6.95,2.46,1.57,0.46,0.0,2.1,0.0,2.43,6.1,14.85,0.411,5.28,12.16,0.434,0.82,2.69,0.305,5.18,6.26,0.827
Brett Rainbow,Male,32,43.22,15.14,3.06,0.87,3.93,1.67,0.78,0.46,0.0,1.39,0.0,2.32,5.29,12.43,0.426,3.04,5.98,0.508,2.26,6.44,0.351,2.3,2.89,0.796
Bryan Short,Male,29,44.24,14.66,3.25,1.55,4.79,3.32,1.5,0.23,0.0,1.26,0.0,2.24,6.27,16.93,0.37,4.63,12.35,0.375,1.63,4.58,0.356,3.76,5.07,0.742
Caitlin Shaw,Female,24,44.75,10.78,3.49,1.03,4.53,1.82,2.32,0.05,0.0,1.48,0.0,2.68,5.87,19.36,0.303,3.49,11.42,0.306,2.37,7.93,0.299,1.42,1.96,0.724
Cameron Bruce,Male,23,42.39,9.57,2.19,0.55,2.74,3.57,2.12,0.09,0.25,1.78,2.99,2.22,3.54,7.54,0.469,2.89,5.26,0.549,0.64,2.28,0.281,1.85,3.84,0.482
Cameron Norton,Male,16,41.75,6.38,4.13,1.8,5.93,3.73,1.88,0.22,0.0,1.84,0.0,2.87,2.29,5.39,0.425,2.02,4.23,0.478,0.27,1.16,0.233,1.52,3.01,0.505
Craig Jarvis,Male,18,41.89,15.91,3.58,3.02,6.6,2.19,0.79,0.2,0.0,2.43,0.0,2.82,6.4,15.76,0.406,6.01,14.4,0.417,0.4,1.35,0.296,3.5,5.69,0.615
Craig Wattie,Male,21,42.67,18.55,7.33,2.74,10.07,2.14,1.27,0.4,0.0,2.55,0.0,4.69,8.54,19.78,0.432,7.03,15.47,0.454,1.5,4.32,0.347,2.98,4.25,0.701
Curtis Small,Male,49,43.76,20.81,2.31,0.75,3.06,2.8,1.3,0.1,0.0,1.52,0.0,2.59,9.01,19.84,0.454,6.09,12.5,0.487,2.93,7.33,0.4,2.46,2.82,0.872
Damien Smith,Male,25,43.08,16.02,2.14,0.58,2.73,4.21,1.23,0.14,0.0,2.28,0.0,2.76,8.05,18.44,0.437,5.74,12.23,0.469,2.31,6.21,0.372,2.23,3.06,0.729
Daryl Corletto,Male,75,42.92,18.37,3.55,0.97,4.52,3.75,1.15,0.22,0.05,1.51,0.51,1.96,7.47,16.08,0.465,5.73,11.06,0.518,1.74,5.01,0.347,3.45,4.03,0.856
David Barlow,Male,3,44.0,21.82,6.82,2.27,9.09,5.23,0.22,0.46,0.46,1.82,3.87,3.63,7.28,15.22,0.478,5.45,9.77,0.558,1.82,5.45,0.334,5.45,6.82,0.799
Dean Rzechta,Male,20,44.25,21.8,5.29,2.64,7.93,1.56,1.76,0.07,0.0,2.47,0.0,2.64,8.58,21.63,0.397,7.29,17.05,0.428,1.29,4.58,0.282,5.66,7.22,0.784
Dionne Fenton,Female,24,43.12,11.71,5.94,3.42,9.36,0.78,1.19,0.87,0.0,1.77,0.0,3.21,4.64,11.36,0.408,4.64,11.22,0.414,0.0,0.15,0.0,2.44,4.67,0.522
Erdoan Bakal,Male,23,42.91,14.86,2.59,1.8,4.38,3.34,0.85,0.24,0.0,1.43,0.0,3.01,6.66,14.01,0.475,5.93,12.1,0.49,0.73,1.92,0.38,2.28,2.77,0.823
Gili Smolboard,Male,4,43.5,16.38,2.76,0.52,3.28,2.24,2.41,0.0,0.0,2.93,0.0,5.52,4.31,13.28,0.325,1.72,6.03,0.285,2.59,7.24,0.358,5.17,6.72,0.769
Glen Barlow,Male,45,43.38,13.96,7.99,3.21,11.2,2.54,1.0,0.54,0.3,2.57,0.98,2.5,5.3,11.0,0.482,5.28,10.84,0.487,0.01,0.17,0.059,3.33,5.23,0.637
Greg Smith,Male,40,43.15,11.87,4.05,0.96,5.01,4.66,1.2,0.31,0.0,2.22,0.0,2.4,4.25,10.65,0.399,2.91,5.69,0.511,1.36,4.97,0.274,2.0,3.16,0.633
Harry White,Male,1,42.0,2.14,1.43,2.14,3.57,0.71,1.43,0.0,0.0,3.57,2.86,3.57,0.0,0.71,0.0,0.0,0.71,0.0,0.0,0.0,,2.14,2.86,0.748
Ivan Platenik,Male,18,42.44,20.03,6.24,3.81,10.05,1.69,0.78,0.83,0.94,2.12,5.03,2.28,7.58,15.32,0.495,7.54,15.04,0.501,0.04,0.28,0.143,4.83,7.42,0.651
James Denton (Sk),Male,24,44.08,10.26,2.64,0.97,3.6,2.24,1.19,0.14,0.51,1.93,2.61,1.76,3.66,8.93,0.41,3.4,7.8,0.436,0.26,1.14,0.228,2.7,3.6,0.75
James Tsun,Male,19,42.32,12.13,2.46,0.6,3.06,3.32,1.42,0.11,0.0,1.68,0.0,3.66,4.4,13.24,0.332,2.65,6.3,0.421,1.75,6.94,0.252,1.57,2.65,0.592
Jane Chalmers,Female,10,43.1,12.53,3.9,1.32,5.22,4.87,2.71,0.14,0.0,2.85,0.0,4.45,4.73,14.69,0.322,4.59,13.09,0.351,0.14,1.6,0.088,3.2,4.52,0.708
Jared Swanson,Male,49,44.69,21.72,6.62,2.83,9.45,2.07,1.4,0.25,0.21,2.37,1.82,2.85,8.67,20.18,0.43,8.51,19.31,0.441,0.16,0.88,0.182,4.21,6.37,0.661
Jason Pepper,Male,28,43.25,17.96,5.28,2.28,7.55,2.23,2.57,0.4,0.0,2.65,0.0,3.54,7.88,15.61,0.505,7.26,13.6,0.534,0.62,2.0,0.31,2.82,4.46,0.632
Jay Allen,Male,17,41.76,14.5,1.95,0.8,2.74,2.92,1.57,0.25,0.0,1.52,0.0,2.7,7.18,20.29,0.354,5.07,13.99,0.362,2.11,6.29,0.335,2.24,3.21,0.698
Jeff Reid,Male,20,43.85,16.49,3.39,1.33,4.72,3.25,1.81,0.03,0.0,2.36,0.0,2.39,5.61,14.4,0.39,2.7,5.99,0.451,2.91,8.42,0.346,2.36,3.35,0.704
Jeremy Marsh,Male,16,42.88,13.38,4.81,2.06,6.86,2.06,1.57,0.97,0.0,2.23,0.0,3.28,4.94,11.24,0.44,4.33,9.58,0.452,0.62,1.67,0.371,2.88,3.98,0.724
John Constance,Male,22,45.36,11.69,2.49,0.99,3.49,3.37,1.65,0.12,0.0,1.75,0.0,1.92,6.13,17.1,0.358,4.6,11.79,0.39,1.53,5.32,0.288,0.96,1.36,0.706
John Morris,Male,16,42.25,15.49,5.24,0.98,6.21,1.42,0.58,0.27,0.53,2.35,2.66,3.33,5.72,14.95,0.383,3.59,8.03,0.447,2.13,6.92,0.308,1.91,3.24,0.59
Jonathon Lee,Male,46,43.07,12.01,2.5,0.79,3.29,3.36,1.71,0.09,0.0,1.99,0.0,3.03,4.83,13.25,0.365,4.26,10.81,0.394,0.58,2.44,0.238,2.35,3.71,0.633
Jordan Hill,Male,8,43.25,17.26,4.94,0.52,5.47,2.86,1.04,0.26,0.0,2.77,0.0,2.25,6.24,14.22,0.439,3.12,6.07,0.514,3.12,8.15,0.383,1.65,2.43,0.679
