Name,Club Name,Competition Name,Equivalent Competition,Level,Gender,Season,Factor,GP,MIN,PTS,DR,OR,REB,AST,STL,BLK,BLKON,FOUL,FOULON,TO,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%
Jared Swanson,Shepparton,Division One Men,Division 1 Men,Senior,Male,2006,0.833333333333333,20,47.2,24.2,7.4,3.4,10.9,2.4,1.9,0.3,0.0,2.2,0.0,3.4,9.6,22.4,42.9,9.6,21.9,43.8,0.0,0.5,0.0,5.0,7.4,67.6
Timothy Gainey,Warrnambool,SCM 2008,Championship Men,Senior,Male,2008,0.833333333333333,20,46.4,14.0,4.8,2.1,6.9,1.5,0.5,1.0,0.6,2.3,2.8,2.8,4.9,12.9,38.0,3.4,7.9,43.0,1.6,5.1,31.4,2.5,3.2,78.1
Dean Rzechta,Maccabi,D2M 2007,Division 2 Men,Senior,Male,2007,0.833333333333333,1,46.0,24.8,2.6,2.6,5.2,2.6,0.7,0.0,0.0,1.3,0.0,2.0,7.2,16.3,44.2,4.6,9.8,46.9,2.6,6.5,40.0,7.8,10.4,75.0
Bart Strzebonski,La Trobe University,Division One Men,Division 1 Men,Senior,Male,2009,0.833333333333333,1,46.0,10.4,3.3,0.7,3.9,3.3,0.7,0.0,0.0,0.7,3.3,2.6,3.9,12.4,31.5,2.0,6.5,30.8,2.0,5.9,33.9,0.7,3.3,21.2
Brett Jarosz,Wyndham,VBL Premier Men,Division 1 Men,Senior,Male,2003,0.833333333333333,20,45.8,16.5,4.7,2.2,6.9,2.5,1.6,0.5,0.0,2.1,0.0,2.4,6.1,14.8,41.2,5.2,12.2,42.6,0.8,2.7,29.6,5.2,6.3,82.5
Paul Fridman,Maccabi,VBL Premier Men,Division 1 Men,Senior,Male,2003,0.833333333333333,21,45.6,9.7,2.8,0.7,3.6,6.2,2.8,0.2,0.0,2.2,0.0,4.5,4.9,16.1,30.4,3.2,9.9,32.3,1.7,6.2,27.4,1.6,2.3,69.6
Kevin Probert,Bendigo,YL1M 2007,Victorian Youth Championship Men,Youth,Male,2007,0.833333333333333,2,45.5,14.8,2.6,0.7,3.3,3.6,3.0,0.3,0.0,2.0,0.0,3.0,4.0,10.5,38.1,2.6,5.6,46.4,1.3,4.9,26.5,5.6,7.9,70.9
Thomas Burns,McKinnon,Division Two Men,Division 2 Men,Senior,Male,2006,0.833333333333333,20,45.5,13.6,4.1,1.1,5.1,4.7,1.7,0.2,0.0,1.8,0.0,3.7,4.8,12.8,37.5,3.6,8.4,42.9,1.2,4.4,27.3,2.8,4.7,59.6
Lee Jeka,Wyndham,SCM 2004,Championship Men,Senior,Male,2004,0.833333333333333,13,45.4,22.1,2.6,1.4,4.0,2.8,1.3,0.0,0.0,1.3,0.0,3.2,10.6,24.1,44.0,8.3,17.8,46.6,2.3,6.3,36.5,3.3,4.4,75.0
John Constance,Chelsea,VBL Division 1 Men,Division 2 Men,Senior,Male,2003,0.833333333333333,22,45.4,11.7,2.5,1.0,3.5,3.4,1.7,0.1,0.0,1.7,0.0,1.9,6.1,17.1,35.7,4.6,11.8,39.0,1.5,5.3,28.3,1.0,1.3,76.9
