Name,Club Name,Competition Name,Equivalent Competition,Level,Gender,Season,Factor,GP,MIN,PTS,DR,OR,REB,AST,STL,BLK,BLKON,FOUL,FOULON,TO,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%
Jared Swanson,Shepparton,Division One Men,Division 1 Men,Senior,Male,2006,0.833333333,20,47.15,24.24,7.44,3.44,10.88,2.42,1.88,0.22,0.0,2.13,0.0,3.47,9.61,22.43,0.428,9.61,21.95,0.438,0.0,0.48,0.0,5.03,7.44,0.676
Timothy Gainey,Warrnambool,SCM 2008,Championship Men,Senior,Male,2008,0.833333333,20,46.45,13.92,4.81,2.03,6.85,1.49,0.48,1.07,0.61,2.33,2.84,2.81,4.94,12.95,0.381,3.39,7.85,0.432,1.55,5.1,0.304,2.49,3.16,0.788
Dean Rzechta,Maccabi,D2M 2007,Division 2 Men,Senior,Male,2007,0.833333333,1,46.0,24.78,2.61,2.61,5.22,2.61,0.65,0.0,0.0,1.3,0.0,1.96,7.17,16.3,0.44,4.57,9.78,0.467,2.61,6.52,0.4,7.83,10.43,0.751
Bart Strzebonski,La Trobe University,Division One Men,Division 1 Men,Senior,Male,2009,0.833333333,1,46.0,10.43,3.26,0.65,3.91,3.26,0.65,0.0,0.0,0.65,3.26,2.61,3.91,12.39,0.316,1.96,6.52,0.301,1.96,5.87,0.334,0.65,3.26,0.199
Brett Jarosz,Wyndham,VBL Premier Men,Division 1 Men,Senior,Male,2003,0.833333333,20,45.75,16.56,4.75,2.2,6.95,2.46,1.57,0.46,0.0,2.1,0.0,2.43,6.1,14.85,0.411,5.28,12.16,0.434,0.82,2.69,0.305,5.18,6.26,0.827
Paul Fridman,Maccabi,VBL Premier Men,Division 1 Men,Senior,Male,2003,0.833333333,21,45.57,9.75,2.85,0.75,3.61,6.18,2.85,0.19,0.0,2.19,0.0,4.48,4.89,16.14,0.303,3.2,9.87,0.324,1.69,6.27,0.27,1.66,2.32,0.716
Kevin Probert,Bendigo,YL1M 2007,Victorian Youth Championship Men,Youth,Male,2007,0.833333333,2,45.5,14.84,2.64,0.66,3.3,3.63,2.97,0.33,0.0,1.98,0.0,2.97,3.96,10.55,0.375,2.64,5.6,0.471,1.32,4.95,0.267,5.6,7.91,0.708
Thomas Burns,McKinnon,Division Two Men,Division 2 Men,Senior,Male,2006,0.833333333,20,45.5,13.58,4.09,1.05,5.14,4.75,1.75,0.2,0.0,1.85,0.0,3.69,4.81,12.82,0.375,3.63,8.47,0.429,1.19,4.35,0.274,2.77,4.78,0.579
Lee Jeka,Wyndham,SCM 2004,Championship Men,Senior,Male,2004,0.833333333,13,45.38,22.17,2.59,1.38,3.97,2.8,1.32,0.0,0.0,1.27,0.0,3.25,10.58,24.1,0.439,8.29,17.85,0.464,2.29,6.25,0.366,3.31,4.42,0.749
John Constance,Chelsea,VBL Division 1 Men,Division 2 Men,Senior,Male,2003,0.833333333,22,45.36,11.69,2.49,0.99,3.49,3.37,1.65,0.12,0.0,1.75,0.0,1.92,6.13,17.1,0.358,4.6,11.79,0.39,1.53,5.32,0.288,0.96,1.36,0.706
Sean Mccall,Coburg,Division One Men,Division 1 Men,Senior,Male,2005,0.833333333,2,45.0,20.33,6.0,3.0,9.0,1.33,2.33,1.0,0.0,2.33,0.0,4.0,7.33,16.67,0.44,6.33,12.0,0.528,1.0,4.67,0.214,4.67,7.67,0.609
Warren Estcourt,Bulleen,VBL Division 1 - Men,Division 2 Men,Senior,Male,2002,0.833333333,1,45.0,2.0,5.33,0.0,5.33,4.67,0.0,0.0,0.0,2.0,0.0,1.33,8.0,21.33,0.375,1.33,6.0,0.222,6.67,15.33,0.435,3.33,4.0,0.832
Vashon Weaver,Latrobe City,SCM 2007,Championship Men,Senior,Male,2007,0.833333333,19,44.84,14.72,4.19,1.79,5.99,3.87,0.84,0.35,0.0,2.25,0.0,4.01,5.57,12.75,0.437,5.04,10.18,0.495,0.53,2.57,0.206,3.06,4.86,0.63
Lee Jeka,Wyndham,SCM 2005,Championship Men,Senior,Male,2005,0.833333333,9,44.78,18.09,4.24,1.27,5.51,4.02,1.12,0.15,0.0,0.67,0.0,2.97,6.77,16.45,0.412,5.29,11.61,0.456,1.49,4.84,0.308,3.05,4.31,0.708
Caitlin Shaw,Diamond Valley,VBL Division 1 - Women,Division 2 Women,Senior,Female,2002,0.833333333,24,44.75,10.78,3.49,1.03,4.53,1.82,2.32,0.05,0.0,1.48,0.0,2.68,5.87,19.36,0.303,3.49,11.42,0.306,2.37,7.93,0.299,1.42,1.96,0.724
Travis Banko,Echuca,VBL Division 1 - Men,Division 2 Men,Senior,Male,2002,0.833333333,20,44.7,16.91,2.62,1.14,3.76,3.09,1.58,0.07,0.0,1.88,0.0,4.9,6.98,16.85,0.414,6.11,13.76,0.444,0.87,3.09,0.282,3.83,5.17,0.741
Curtis Small,Warrnambool,SCM 2004,Championship Men,Senior,Male,2004,0.833333333,23,44.57,21.16,1.96,0.82,2.78,2.4,1.55,0.09,0.0,1.73,0.0,2.52,10.77,24.0,0.449,8.05,16.65,0.483,2.72,7.34,0.371,2.34,2.63,0.89
Nathan Sellwood,Sunbury,VBL Premier - Men,Division 1 Men,Senior,Male,2002,0.833333333,27,44.56,18.65,3.02,1.32,4.34,3.32,1.39,0.03,0.0,1.05,0.0,2.3,8.11,19.57,0.414,6.53,15.36,0.425,1.57,4.21,0.373,4.01,5.31,0.755
Nathan Crosswell,Sandringham,SCM 2004,Championship Men,Senior,Male,2004,0.833333333,21,44.38,17.25,2.77,0.71,3.47,5.06,1.42,0.03,0.0,1.61,0.0,2.96,6.73,14.26,0.472,6.08,12.24,0.497,0.64,2.03,0.315,4.44,5.44,0.816
Sam Belt,Ringwood,SCM 2009,Championship Men,Senior,Male,2009,0.833333333,22,44.32,18.4,6.0,2.03,8.03,2.25,0.74,0.52,0.64,1.54,2.8,1.91,5.91,14.65,0.403,2.61,5.66,0.461,3.29,8.98,0.366,3.29,4.62,0.712
Brad Salter,Wyndham,SCM 2004,Championship Men,Senior,Male,2004,0.833333333,20,44.3,11.14,3.89,1.73,5.62,3.59,2.3,0.07,0.0,2.2,0.0,1.96,4.98,11.34,0.439,4.0,8.47,0.472,0.98,2.88,0.34,2.17,2.91,0.746
