Name,Gender,GP,MIN,PTS,DR,OR,REB,AST,STL,BLK,BLKON,FOUL,FOULON,TO,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%
Aaliyah Cordova,Female,16,86,12,3,5,8,1,1,0,1,10,4,6,4,17,23.5,4,17,23.5,0,0,0.0,4,8,50.0
Aaron Abram,Male,16,392,254,98,46,144,21,11,8,5,57,56,38,96,226,42.5,72,154,46.8,24,72,33.3,38,64,59.4
Aaron Bartram,Male,21,510,93,51,33,84,30,13,1,10,28,15,47,36,157,22.9,24,84,28.6,12,73,16.4,9,20,45.0
Aaron Blumberg,Male,63,848,266,133,50,183,36,16,31,13,66,46,52,114,249,45.8,101,206,49.0,13,43,30.2,25,44,56.8
Aaron Booth,Male,42,596,168,166,60,226,14,20,20,6,116,58,40,72,152,47.4,72,152,47.4,0,0,0.0,24,48,50.0
Aaron Bosanquet-Fry,Male,21,194,35,21,14,35,11,13,1,2,24,15,26,14,63,22.2,13,50,26.0,1,13,7.7,6,16,37.5
Aaron Bower,Male,42,905,385,115,43,158,122,41,1,12,68,119,110,135,366,36.9,95,244,38.9,40,122,32.8,75,121,62.0
Aaron Bruce,Male,11,420,324,42,9,51,62,35,4,0,33,1,52,141,319,44.2,120,238,50.4,21,81,25.9,57,69,82.6
Aaron Callegari,Male,29,914,340,82,50,132,105,39,4,0,90,0,129,122,279,43.7,115,253,45.5,7,26,26.9,89,154,57.8
Aaron Carlton,Male,180,3166,1125,319,74,393,91,75,13,15,162,85,156,383,1059,36.2,82,207,39.6,301,852,35.3,58,84,69.0
Aaron Conlon,Male,2,8,2,2,0,2,1,0,0,0,1,0,0,1,3,33.3,1,1,100.0,0,2,0.0,0,0,0.0
Aaron Davidson,Male,52,386,176,28,36,64,42,14,0,12,36,22,26,70,158,44.3,56,116,48.3,14,42,33.3,22,32,68.8
Aaron Dolny,Male,40,585,312,57,15,72,23,17,3,1,61,69,39,101,293,34.5,32,74,43.2,69,219,31.5,41,64,64.1
Aaron Edwards,Male,1,7,4,1,0,1,0,0,0,0,1,0,0,2,3,66.7,2,2,100.0,0,1,0.0,0,0,0.0
Aaron Evans,Male,75,1463,493,182,66,248,82,32,22,15,123,64,111,186,573,32.5,110,291,37.8,76,282,27.0,41,66,62.1
Aaron Fox,Male,76,1106,259,115,45,160,163,59,10,8,115,31,129,104,297,35.0,85,215,39.5,19,82,23.2,32,68,47.1
Aaron Frost,Male,129,2400,1256,612,270,882,104,44,71,41,199,252,133,472,1085,43.5,368,745,49.4,104,340,30.6,168,294,57.1
Aaron Gadsden,Male,38,564,173,78,74,152,9,12,16,10,71,54,30,73,136,53.7,73,131,55.7,0,5,0.0,27,52,51.9
Aaron Gibson,Male,19,150,30,25,12,37,4,6,3,0,19,0,16,10,21,47.6,10,20,50.0,0,1,0.0,8,16,50.0
Aaron Green,Male,23,222,64,22,13,35,10,8,2,4,14,17,15,26,82,31.7,25,72,34.7,1,10,10.0,11,24,45.8
Aaron Harrison,Male,19,678,485,168,58,226,79,67,7,7,49,107,88,180,351,51.3,154,272,56.6,26,79,32.9,99,127,78.0
Aaron Hill,Male,14,517,311,42,11,53,28,26,4,10,38,56,34,94,231,40.7,39,102,38.2,55,129,42.6,68,81,84.0
Aaron Holmes,Male,71,853,248,119,67,186,31,18,20,4,134,10,55,100,354,28.2,79,259,30.5,21,95,22.1,47,77,61.0
Aaron Kearing,Male,31,403,151,64,74,138,17,7,18,2,69,37,40,65,127,51.2,65,126,51.6,0,1,0.0,21,39,53.8
Aaron Klos,Male,81,998,366,135,42,177,91,85,8,22,113,178,75,112,337,33.2,82,231,35.5,30,106,28.3,112,183,61.2
Aaron Krug,Male,26,268,60,15,8,23,6,5,0,4,38,17,26,23,70,32.9,18,46,39.1,5,24,20.8,9,13,69.2
Aaron Lemon,Male,62,764,217,75,46,121,64,45,3,9,38,52,60,76,244,31.1,67,193,34.7,9,51,17.6,34,62,54.8
Aaron Lester,Male,102,2484,925,463,230,693,128,112,95,1,249,43,127,318,770,41.3,242,562,43.1,76,208,36.5,217,299,72.6
Aaron Littlepage,Male,21,670,202,156,60,216,14,21,15,0,97,0,56,88,233,37.8,88,232,37.9,0,1,0.0,26,76,34.2
Aaron Lorych,Male,68,1236,401,173,147,320,28,19,29,0,174,0,100,156,327,47.7,156,326,47.9,0,1,0.0,89,171,52.0
Aaron Marsh,Male,49,1419,679,334,182,516,77,63,30,64,194,154,140,277,775,35.7,256,687,37.3,21,88,23.9,104,216,48.1
Aaron Mccuin,Male,24,784,418,209,118,327,24,18,33,19,67,133,49,154,319,48.3,151,308,49.0,3,11,27.3,107,164,65.2
Aaron Miles,Male,60,958,394,124,42,166,64,57,1,11,111,79,57,129,412,31.3,40,113,35.4,89,299,29.8,47,75,62.7
Aaron Mourant,Male,1,8,5,2,2,4,0,0,0,0,1,3,0,0,3,0.0,0,1,0.0,0,2,0.0,5,6,83.3
Aaron Munday-Rashid,Male,94,1649,715,166,71,237,73,61,19,21,120,129,114,287,726,39.5,244,550,44.4,43,176,24.4,98,145,67.6
Aaron Olczyk,Male,95,1248,361,153,107,260,55,43,9,28,179,112,126,139,404,34.4,120,332,36.1,19,72,26.4,64,123,52.0
Aaron Olkzyk,Male,1,4,0,0,0,0,0,0,0,1,0,0,3,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0
Aaron Pantano,Male,14,144,35,12,8,20,2,1,3,6,22,5,17,14,42,33.3,7,19,36.8,7,23,30.4,0,2,0.0
Aaron Pengally,Male,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0
Aaron Pengelly,Male,12,107,18,5,4,9,1,4,1,3,14,2,6,8,31,25.8,7,21,33.3,1,10,10.0,1,2,50.0
Aaron Perry,Male,39,724,167,82,57,139,32,41,2,3,89,50,60,69,189,36.5,66,164,40.2,3,25,12.0,24,40,60.0
Aaron Pietzsch,Male,21,108,32,8,10,18,6,7,2,0,14,0,7,12,27,44.4,12,24,50.0,0,3,0.0,8,14,57.1
Aaron Reinbott,Male,42,938,298,96,22,118,30,22,2,14,42,64,72,100,334,29.9,38,126,30.2,62,208,29.8,36,52,69.2
Aaron Roberts,Male,76,2204,944,249,194,443,201,110,23,0,230,0,220,393,913,43.0,369,775,47.6,24,138,17.4,180,280,64.3
Aaron Ruiz,Male,124,2737,780,766,247,1013,147,93,44,22,347,181,184,316,905,34.9,252,553,45.6,64,352,18.2,66,162,40.7
Aaron Sansoni,Male,20,236,94,18,5,23,11,10,1,0,37,0,47,42,153,27.5,29,96,30.2,13,57,22.8,23,37,62.2
Aaron Smith,Male,8,47,2,2,5,7,2,0,0,0,7,3,3,0,7,0.0,0,7,0.0,0,0,0.0,2,4,50.0
Aaron Stirton,Male,126,2597,596,181,72,253,280,88,3,14,229,157,213,217,662,32.8,166,453,36.6,51,209,24.4,111,187,59.4
Aaron Sturt,Male,1,16,0,1,0,1,1,0,0,0,3,1,1,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0
Aaron Van Den Akker,Male,68,1235,371,179,16,195,51,44,11,5,92,50,54,130,441,29.5,36,96,37.5,94,345,27.2,17,34,50.0
Aaryn Gibson,Male,23,93,21,9,6,15,2,3,2,1,12,7,8,9,19,47.4,7,11,63.6,2,8,25.0,1,6,16.7
Aasha Linn,Female,65,1334,387,153,126,279,73,82,8,27,193,181,160,122,472,25.8,110,394,27.9,12,78,15.4,131,216,60.6
Aayan Raza,Male,15,56,5,7,1,8,4,2,0,1,6,3,11,2,10,20.0,1,9,11.1,1,1,100.0,0,0,0.0
Abbe Moriarty,Female,18,124,9,8,5,13,7,3,1,1,11,8,16,4,18,22.2,4,16,25.0,0,2,0.0,1,7,14.3
Abbey Bowman,Female,2,17,0,2,1,3,0,1,0,0,4,0,1,0,6,0.0,0,4,0.0,0,2,0.0,0,0,0.0
Abbey Chapman,Female,25,214,31,24,16,40,18,12,0,6,31,18,37,8,67,11.9,5,40,12.5,3,27,11.1,12,22,54.5
Abbey Ellis,Female,25,375,91,43,12,55,21,34,4,3,26,23,27,35,109,32.1,28,68,41.2,7,41,17.1,10,16,62.5
Abbey Howard,Female,19,313,36,20,5,25,22,10,2,0,30,0,42,16,125,12.8,13,77,16.9,3,48,6.2,7,8,87.5
Abbey Lee,Female,38,485,94,59,40,99,25,26,6,3,65,41,64,34,147,23.1,33,142,23.2,1,5,20.0,25,41,61.0
Abbey Lloyd,Female,136,2330,582,388,182,570,90,79,33,48,224,171,179,225,562,40.0,215,513,41.9,10,49,20.4,106,175,60.6
Abbey Mcnamara,Female,46,854,290,99,31,130,42,36,3,12,73,88,65,101,325,31.1,62,156,39.7,39,169,23.1,47,82,57.3
Abbey Noblett,Female,63,1308,342,133,73,206,94,65,5,30,135,93,145,130,350,37.1,115,275,41.8,15,75,20.0,67,96,69.8
Abbey Rossetto,Female,6,19,2,3,0,3,1,1,0,1,0,1,5,0,4,0.0,0,4,0.0,0,0,0.0,2,2,100.0
Abbey Sutherland,Female,67,1908,545,305,122,427,94,56,62,22,124,108,91,205,570,36.0,159,420,37.9,46,150,30.7,81,120,67.5
Abbey Taylor,Female,47,881,292,222,72,294,24,45,25,39,102,101,130,103,497,20.7,87,408,21.3,16,89,18.0,70,128,54.7
Abbey Toohey,Female,29,497,215,60,25,85,12,17,6,9,46,47,40,70,249,28.1,30,109,27.5,40,140,28.6,35,56,62.5
Abbey Watts,Female,31,239,20,14,11,25,16,3,0,2,38,17,28,5,32,15.6,4,26,15.4,1,6,16.7,9,17,52.9
Abbey Wehrung,Female,1,36,14,12,4,16,7,1,0,0,2,3,6,6,14,42.9,6,13,46.2,0,1,0.0,2,2,100.0
Abbi Weatherald,Female,41,967,169,104,30,134,78,66,7,4,92,45,94,64,185,34.6,48,134,35.8,16,51,31.4,25,39,64.1
Abby Carmichael,Female,39,715,151,145,103,248,35,45,20,0,121,0,139,56,208,26.9,56,200,28.0,0,8,0.0,39,100,39.0
Abby Chernishoff,Female,40,842,278,157,99,256,40,54,8,31,110,121,62,96,329,29.2,92,316,29.1,4,13,30.8,80,125,64.0
Abby Glavic,Female,14,164,28,13,9,22,7,3,2,9,18,19,32,8,29,27.6,8,29,27.6,0,0,0.0,12,17,70.6
Abby Hildebrand,Female,20,411,149,23,9,32,34,25,4,4,22,25,28,48,166,28.9,18,65,27.7,30,101,29.7,23,29,79.3
Abby Loughhead,Female,58,1820,566,299,98,397,123,113,17,37,100,134,150,194,697,27.8,127,402,31.6,67,295,22.7,111,155,71.6
