Name,Gender,GP,MIN,PTS,DR,OR,REB,AST,STL,BLK,BLKON,FOUL,FOULON,TO,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%
Adam Dixon,Male,21,890,563,99,51,150,74,40,25,0,57,0,67,202,396,0.51,186,339,0.549,16,57,0.281,143,187,0.765
Amanda Fenwick,Female,19,801,208,142,65,207,44,60,19,0,56,0,60,90,242,0.372,89,239,0.372,1,3,0.333,29,85,0.341
Bart Strzebonski,Male,1,46,16,5,1,6,5,1,0,0,1,5,4,6,19,0.316,3,10,0.3,3,9,0.333,1,5,0.2
Bobby Cunningham,Male,45,1967,913,509,137,646,397,172,16,0,182,0,255,437,1143,0.382,314,763,0.412,123,380,0.324,162,215,0.753
Brad Salter,Male,20,886,329,115,51,166,106,68,2,0,65,0,58,147,335,0.439,118,250,0.472,29,85,0.341,64,86,0.744
Brady Walmsey,Male,15,626,310,31,20,51,48,19,0,0,30,0,49,97,263,0.369,62,164,0.378,35,99,0.354,81,114,0.711
Brett Jarosz,Male,20,915,505,145,67,212,75,48,14,0,64,0,74,186,453,0.411,161,371,0.434,25,82,0.305,158,191,0.827
Brett Rainbow,Male,32,1383,698,141,40,181,77,36,21,0,64,0,107,244,573,0.426,140,276,0.507,104,297,0.35,106,133,0.797
Bryan Short,Male,29,1283,627,139,66,205,142,64,10,0,54,0,96,268,724,0.37,198,528,0.375,70,196,0.357,161,217,0.742
Caitlin Shaw,Female,24,1074,386,125,37,162,65,83,2,0,53,0,96,210,693,0.303,125,409,0.306,85,284,0.299,51,70,0.729
Cameron Bruce,Male,23,975,311,71,18,89,116,69,3,8,58,97,72,115,245,0.469,94,171,0.55,21,74,0.284,60,125,0.48
Cameron Norton,Male,16,668,142,92,40,132,83,42,5,0,41,0,64,51,120,0.425,45,94,0.479,6,26,0.231,34,67,0.507
Craig Jarvis,Male,18,754,400,90,76,166,55,20,5,0,61,0,71,161,396,0.407,151,362,0.417,10,34,0.294,88,143,0.615
Craig Wattie,Male,21,896,554,219,82,301,64,38,12,0,76,0,140,255,591,0.431,210,462,0.455,45,129,0.349,89,127,0.701
Curtis Small,Male,49,2144,1487,165,54,219,200,93,7,0,109,0,185,644,1418,0.454,435,894,0.487,209,524,0.399,176,202,0.871
Damien Smith,Male,25,1077,575,77,21,98,151,44,5,0,82,0,99,289,662,0.437,206,439,0.469,83,223,0.372,80,110,0.727
Daryl Corletto,Male,75,3219,1971,381,104,485,403,124,24,5,162,55,211,802,1725,0.465,615,1187,0.518,187,538,0.348,370,432,0.856
David Barlow,Male,3,132,96,30,10,40,23,1,2,2,8,17,16,32,67,0.478,24,43,0.558,8,24,0.333,24,30,0.8
Dean Rzechta,Male,20,885,643,156,78,234,46,52,2,0,73,0,78,253,638,0.397,215,503,0.427,38,135,0.281,167,213,0.784
Dionne Fenton,Female,24,1035,404,205,118,323,27,41,30,0,61,0,111,160,392,0.408,160,387,0.413,0,5,0.0,84,161,0.522
Erdoan Bakal,Male,23,987,489,85,59,144,110,28,8,0,47,0,99,219,461,0.475,195,398,0.49,24,63,0.381,75,91,0.824
Gili Smolboard,Male,4,174,95,16,3,19,13,14,0,0,17,0,32,25,77,0.325,10,35,0.286,15,42,0.357,30,39,0.769
Glen Barlow,Male,45,1952,908,520,209,729,165,65,35,20,167,64,163,345,716,0.482,344,705,0.488,1,11,0.091,217,340,0.638
Greg Smith,Male,40,1726,683,233,55,288,268,69,18,0,128,0,138,245,613,0.4,167,327,0.511,78,286,0.273,115,182,0.632
Harry White,Male,1,42,3,2,3,5,1,2,0,0,5,4,5,0,1,0.0,0,1,0.0,0,0,,3,4,0.75
Ivan Platenik,Male,18,764,510,159,97,256,43,20,21,24,54,128,58,193,390,0.495,192,383,0.501,1,7,0.143,123,189,0.651
James Denton (Sk),Male,24,1058,362,93,34,127,79,42,5,18,68,92,62,129,315,0.41,120,275,0.436,9,40,0.225,95,127,0.748
James Tsun,Male,19,804,325,66,16,82,89,38,3,0,45,0,98,118,355,0.332,71,169,0.42,47,186,0.253,42,71,0.592
Jane Chalmers,Female,10,431,180,56,19,75,70,39,2,0,41,0,64,68,211,0.322,66,188,0.351,2,23,0.087,46,65,0.708
Jared Swanson,Male,49,2190,1585,483,207,690,151,102,18,15,173,133,208,633,1473,0.43,621,1409,0.441,12,64,0.188,307,465,0.66
Jason Pepper,Male,28,1211,725,213,92,305,90,104,16,0,107,0,143,318,630,0.505,293,549,0.534,25,81,0.309,114,180,0.633
Jay Allen,Male,17,710,343,46,19,65,69,37,6,0,36,0,64,170,480,0.354,120,331,0.363,50,149,0.336,53,76,0.697
Jeff Reid,Male,20,877,482,99,39,138,95,53,1,0,69,0,70,164,421,0.39,79,175,0.451,85,246,0.346,69,98,0.704
Jeremy Marsh,Male,16,686,306,110,47,157,47,36,22,0,51,0,75,113,257,0.44,99,219,0.452,14,38,0.368,66,91,0.725
John Constance,Male,22,998,389,83,33,116,112,55,4,0,58,0,64,204,569,0.359,153,392,0.39,51,177,0.288,32,45,0.711
